date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:02	306433/306433	---M--	200	added ('OK')	image/jpeg	etag:%224ad01-63e82d11492e8%22	http://www.jbc-japan.co.jp/_p/acre/9783/images/pc/d1c1bdbd.jpg	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_p/acre/9783/images/pc/d1c1bdbd.jpg	(from http://www.jbc-japan.co.jp/)
18:19:03	3291/3291	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f2c-cdb%22	https://cdnjs.cloudflare.com/ajax/libs/object-fit-images/3.2.4/ofi.min.js	C:/My%20Web%20Sites/jbc-japan-new/cdnjs.cloudflare.com/ajax/libs/object-fit-images/3.2.4/ofi.min.js	(from http://www.jbc-japan.co.jp/)
18:19:04	3838/3838	---M-Z	200	added ('OK')	application/javascript	etag:%22efe-64143761fdd70-gzip%22	http://www.jbc-japan.co.jp/cms_v2/_master/acre/common/js/form.js	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/cms_v2/_master/acre/common/js/form.js	(from http://www.jbc-japan.co.jp/)
18:19:05	11472/11472	---M-Z	200	added ('OK')	application/javascript	etag:%222cd0-64142fa584600-gzip%22	http://www.jbc-japan.co.jp/cms_v2/_master/acre/common/js/pc.js?1687511409	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/cms_v2/_master/acre/common/js/pcd057.js	(from http://www.jbc-japan.co.jp/)
18:19:09	42444/42444	---M-Z	200	added ('OK')	application/javascript	etag:%22a5cc-641437622fa50-gzip%22	http://www.jbc-japan.co.jp/cms_v2/_master/acre/common/js/pc2.js?1687511409	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/cms_v2/_master/acre/common/js/pc2d057.js	(from http://www.jbc-japan.co.jp/)
18:19:10	287/287	---M--	200	added ('OK')	image/png	etag:%2211f-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/close.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/close.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:10	563/563	---M--	200	added ('OK')	image/gif	etag:%22233-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/loading.gif	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/loading.gif	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:11	742/742	---M--	200	added ('OK')	image/png	etag:%222e6-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/prev.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/prev.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:11	255285/255285	---M--	200	added ('OK')	image/jpeg	etag:%223e535-61f290c99bc90%22	http://www.jbc-japan.co.jp/_p/acre/9783/images/pc/01064de9.jpg	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_p/acre/9783/images/pc/01064de9.jpg	(from http://www.jbc-japan.co.jp/)
18:19:11	752/752	---M--	200	added ('OK')	image/png	etag:%222f0-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/next.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/lightbox/next.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
18:19:12	1537/1537	---M--	200	added ('OK')	image/png	etag:%22601-64142fa678840%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-footerMenu/bg.png	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/imgs/t0-b-footerMenu/bg.png	(from http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409)
